Comment,Designator,Footprint,JLCPCB Part #
0.1uF,C1-12,C_0603_1608Metric,C1590
22uF,C15,CP_Radial_D5.0mm_P2.50mm,
1uF,"C13,C14",C_0603_1608Metric,C5673
10k,R1-4,R_0603_1608Metric,C15401
1k,R5-15,R_0603_1608Metric,C21190
74HC173,"U2,U10",SOIC-16_3.9x9.9mm_P1.27mm,C2677807
74HC139,U8,SOIC-16_3.9x9.9mm_P1.27mm,C132996
74HC08,"U3,U5",SOIC-14_3.9x8.7mm_P1.27mm,C337768
74HC32,U1,SOIC-14_3.9x8.7mm_P1.27mm,C6838
74HC148,U12,SOIC-16_3.9x9.9mm_P1.27mm,C6819
74HC74,"U9,U6,U11",SOIC-14_3.9x8.7mm_P1.27mm,C6762
74HC125,"U7,U4",SOIC-14_3.9x8.7mm_P1.27mm,C42322
red led,D1-4,LED_1206_3216Metric,C125086
yellow led,D5-8,LED_1206_3216Metric,C125087
white led,D10-11,LED_1206_3216Metric,C133134
green led,D9,LED_1206_3216Metric,C364563
Conn_01x05_Pin,J4,PinHeader_1x05_P2.00mm_Vertical,
Conn_01x02_Pin,J2,PinHeader_1x02_P2.00mm_Vertical,
Conn_01x03_Pin,J3,PinHeader_1x03_P2.00mm_Vertical,
Conn_01x04_Pin,J5,PinHeader_1x04_P2.00mm_Vertical,
Conn_01x08_Pin,J1,PinHeader_1x08_P2.00mm_Vertical,
